active_addresses,fees_btc,tx_count,date
747953,4.23042387,399776,2025-11-05
737224,3.33175311,414343,2025-11-06
752529,3.33020756,477171,2025-11-07
622449,2.55256924,351704,2025-11-08
607063,2.40885714,467846,2025-11-09
723219,3.74417263,451762,2025-11-10
717240,2.74064711,480595,2025-11-11
666761,2.5596544,452672,2025-11-12
715565,3.0392257,481822,2025-11-13
804891,3.44757513,484096,2025-11-14
735457,2.46835008,485232,2025-11-15
599175,2.59784312,582885,2025-11-16
722706,4.54771315,406170,2025-11-17
783873,3.69128131,321895,2025-11-18
740835,3.34410806,359976,2025-11-19
712914,3.15183306,357950,2025-11-20
798210,3.63873918,416326,2025-11-21
653472,3.04137277,472844,2025-11-22
587259,2.23206887,318830,2025-11-23
672046,2.587686,399370,2025-11-24
673473,3.13027951,351642,2025-11-25
719513,3.11504921,476755,2025-11-26
675201,2.6888795,404471,2025-11-27
703533,2.85585679,510984,2025-11-28
630159,2.25719319,403759,2025-11-29
601718,2.17500927,514580,2025-11-30
737081,4.01880956,399941,2025-12-01
743961,3.97296907,415283,2025-12-02
716757,3.5873632,430832,2025-12-03
693069,3.15940654,414769,2025-12-04
712886,3.63532789,350006,2025-12-05
615281,2.40213513,529256,2025-12-06
545020,1.90661205,546753,2025-12-07
666566,2.70652416,575607,2025-12-08
668386,2.90764527,446113,2025-12-09
689654,2.72107443,554922,2025-12-10
656012,2.62152377,475726,2025-12-11
761375,2.84345593,411109,2025-12-12
601306,2.21727704,500012,2025-12-13
564048,1.954934,418597,2025-12-14
663223,2.69619218,419887,2025-12-15
696716,2.74310551,442553,2025-12-16
675987,2.83041509,451215,2025-12-17
725880,2.76906073,461224,2025-12-18
735738,3.29975598,433546,2025-12-19
613352,2.13286655,441258,2025-12-20
565021,1.89117973,440054,2025-12-21
667969,2.54620131,426021,2025-12-22
672116,2.53787255,431814,2025-12-23
667297,2.73632344,503638,2025-12-24
562104,2.0880317,465274,2025-12-25
613757,2.38212109,513354,2025-12-26
569638,2.07978162,475008,2025-12-27
572908,2.15540502,540696,2025-12-28
693511,2.80614074,548253,2025-12-29
749500,3.05012403,366458,2025-12-30
697063,3.05108551,407824,2025-12-31
570904,2.1789344,469075,2026-01-01
702623,2.77993902,458150,2026-01-02
618923,2.53756188,496980,2026-01-03
629824,2.45125971,478738,2026-01-04
687169,2.72302134,410199,2026-01-05
698247,2.77692481,422822,2026-01-06
644966,2.60565397,424312,2026-01-07
631893,2.60291043,335049,2026-01-08
664665,2.53565804,351155,2026-01-09
608784,2.0853467,492984,2026-01-10
536405,1.91541573,289219,2026-01-11
638422,2.3225772,405384,2026-01-12
701272,3.01945485,340763,2026-01-13
707589,3.13791446,326077,2026-01-14
717904,3.18632374,375169,2026-01-15
692686,3.34668553,362621,2026-01-16
572689,2.21667057,354936,2026-01-17
567075,1.99155272,332784,2026-01-18
623139,2.21884898,353668,2026-01-19
640908,2.84576841,386279,2026-01-20
698736,2.53054709,427046,2026-01-21
612517,2.28692829,464766,2026-01-22
664123,2.56577071,437544,2026-01-23
562317,2.02265956,284304,2026-01-24
555249,1.9514115,317176,2026-01-25
635513,2.35323609,399372,2026-01-26
624246,2.34720814,365975,2026-01-27
631786,2.8264027,342139,2026-01-28
681624,2.7818993,421064,2026-01-29
733411,3.32739205,383042,2026-01-30
702918,3.0225382,403447,2026-01-31
613261,2.49800185,356739,2026-02-01
734473,3.59703698,354152,2026-02-02
741467,3.22262256,435204,2026-02-03
704812,3.09856906,412289,2026-02-04
865167,6.14723942,384528,2026-02-05
856992,5.74597668,407706,2026-02-06
645574,2.7410227,493708,2026-02-07
555675,2.20456314,512816,2026-02-08
682068,2.92519453,394855,2026-02-09
624916,2.58446884,390874,2026-02-10
659141,2.94451038,451472,2026-02-11
653355,2.54254112,494350,2026-02-12
